,id,genero,titulo,tipo,fecha
536,tt0122161,Thriller,Lured Innocence,Movie,2-2000
537,tt0120117,Thriller,Shikari,Movie,10-2000
538,tt0120753,Thriller,The Million Dollar Hotel,Movie,5-2000
539,tt0120698,Thriller,The Highwayman,Movie,4-2000
541,tt0108873,Thriller,Mördare utan ansikte,TV Mini Series,9-1995
542,tt0109034,Thriller,Above Suspicion,Movie,5-1995
543,tt0109178,Thriller,Automatic,Movie,3-1995
544,tt0109100,Thriller,Americanski Blues,TV Movie,8-1995
545,tt0109546,Thriller,Temptress,Movie,4-1995
546,tt0109552,Thriller,Darkman II: The Return of Durant,Video,7-1995
547,tt0109033,Thriller,Abducted II: The Reunion,Movie,1-1995
548,tt0109532,Thriller,Dangerous Indiscretion,Movie,5-1995
549,tt0109536,Thriller,The Dangerous,Movie,9-1995
550,tt0075259,Thriller,Spy Story,Movie,3-1990
551,tt0088283,Thriller,Tod durch elektrischen Strom,TV Episode,10-1990
552,tt0088656,Thriller,Za Rippaa (The Ripper),TV Episode,8-1990
553,tt0088655,Thriller,AD Police Files,TV Series,5-1990
554,tt0088657,Thriller,Shita wo kamu otoko (The Man Who Bites His Tongue),TV Episode,11-1990
555,tt0094004,Thriller,Soldier of Fortune,Movie,4-1990
557,tt0094666,Thriller,Any Man's Death,Movie,5-1990
558,tt0094857,Thriller,Chi se da feng bao,Movie,3-1990
559,tt0095840,Thriller,Payback,Movie,4-1990
